m,kc,ti,td,s,cu1,cu2,de,de_err,time,to,rt,,zero pos: 0.5
4,19.200001,2.75,33.599998,1,0.67,0.75,0.59,-0.4144,0.95,0.95,0,,
4,19.200001,2.75,33.599998,1,0.25,0.27,0.62,-0.3777,1.95,1.95,0,,
4,19.200001,2.75,33.599998,1,0.02,0.04,0.67,-0.3287,2.95,2.95,0,,
4,19.200001,2.75,33.599998,1,0.03,0.04,0.72,-0.2818,3.95,3.95,0,,
4,19.200001,2.75,33.599998,1,0.05,0.04,0.78,-0.2165,4.95,4.95,0,,
4,19.200001,2.75,33.599998,1,0.03,0.05,0.86,-0.143,5.95,5.95,0,,
4,19.200001,2.75,33.599998,1,0.07,0.08,0.92,-0.0767,6.95,6.95,0,,
4,19.200001,2.75,33.599998,1,0.07,0.07,0.97,-0.0257,7.95,7.95,0,,
4,19.200001,2.75,33.599998,1,0.25,0.23,1.02,0.0202,8.95,8.95,0,,
4,19.200001,2.75,33.599998,1,0.38,0.34,1.06,0.0569,9.95,9.95,0,,
4,19.200001,2.75,33.599998,1,0.46,0.47,1.06,0.061,10.95,10.95,0,,
4,19.200001,2.75,33.599998,1,0.46,0.47,1.05,0.0457,11.95,11.95,0,,
4,19.200001,2.75,33.599998,1,0.29,0.34,1.01,0.0141,12.95,12.95,0,,
4,19.200001,2.75,33.599998,2,0.11,0.18,0.99,-1.0114,13.95,0.45,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,0.98,-1.0226,14.95,1.45,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1,-1.0043,15.95,2.45,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.03,-0.9696,17,3.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.07,-0.9257,18,4.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.13,-0.8696,19,5.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.19,-0.8053,20,6.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.25,-0.7492,21,7.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.31,-0.6901,22,8.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.37,-0.6299,23,9.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.44,-0.5595,24,10.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.52,-0.4779,25,11.5,0,,
4,19.200001,2.75,33.599998,2,0.02,0.04,1.59,-0.4095,26.05,12.55,0,,
4,19.200001,2.75,33.599998,2,0.03,0.04,1.66,-0.3371,27.05,13.55,0,,
4,19.200001,2.75,33.599998,2,0.03,0.04,1.73,-0.2677,28.05,14.55,0,,
4,19.200001,2.75,33.599998,2,0.03,0.04,1.81,-0.1922,29.05,15.55,0,,
4,19.200001,2.75,33.599998,2,0.06,0.04,1.88,-0.1218,30.05,16.55,0,,
4,19.200001,2.75,33.599998,2,0.12,0.12,1.95,-0.0473,31.05,17.55,0,,
4,19.200001,2.75,33.599998,2,0.18,0.17,2.03,0.0292,32.05,18.55,0,,
4,19.200001,2.75,33.599998,2,0.35,0.35,2.1,0.1037,33.05,19.55,0,,
4,19.200001,2.75,33.599998,2,0.53,0.53,2.17,0.1669,34.05,20.55,0,,
4,19.200001,2.75,33.599998,2,0.7,0.67,2.2,0.2036,35.05,21.55,0,,
4,19.200001,2.75,33.599998,2,0.82,0.8,2.21,0.2087,36.05,22.55,0,,
4,19.200001,2.75,33.599998,2,0.83,0.82,2.19,0.1873,37.05,23.55,0,,
4,19.200001,2.75,33.599998,2,0.82,0.84,2.15,0.1465,38.05,24.55,0,,
4,19.200001,2.75,33.599998,2,0.69,0.71,2.09,0.0924,39.05,25.55,0,,
4,19.200001,2.75,33.599998,2,0.59,0.61,2.04,0.0404,40.05,26.55,0,,
4,19.200001,2.75,33.599998,2,0.4,0.43,1.99,-0.0055,41.05,27.55,0,,
4,19.200001,2.75,33.599998,2,0.27,0.27,1.98,-0.0167,42.05,28.55,0,,
4,19.200001,2.75,33.599998,2,0.27,0.29,2.01,0.0149,43.1,29.6,0,,
4,19.200001,2.75,33.599998,2,0.35,0.34,2.05,0.0486,44.1,30.6,0,,
4,19.200001,2.75,33.599998,2,0.55,0.49,2.1,0.0986,45.1,31.6,0,,
4,19.200001,2.75,33.599998,3,0.32,0.41,2.14,-0.8606,46.1,0.7,0,,
4,19.200001,2.75,33.599998,3,0.02,0.04,2.2,-0.8045,47.1,1.7,0,,
4,19.200001,2.75,33.599998,3,0.02,0.05,2.28,-0.7199,48.1,2.7,0,,
4,19.200001,2.75,33.599998,3,0.02,0.05,2.39,-0.6107,49.1,3.7,0,,
4,19.200001,2.75,33.599998,3,0.02,0.05,2.49,-0.5066,50.1,4.7,0,,
4,19.200001,2.75,33.599998,3,0.03,0.05,2.6,-0.3975,51.1,5.7,0,,
4,19.200001,2.75,33.599998,3,0.04,0.05,2.72,-0.2801,52.1,6.7,0,,
4,19.200001,2.75,33.599998,3,0.04,0.05,2.82,-0.1822,53.1,7.7,0,,
4,19.200001,2.75,33.599998,3,0.13,0.09,2.94,-0.0628,54.1,8.7,0,,
4,19.200001,2.75,33.599998,3,0.16,0.15,3.03,0.031,55.1,9.7,0,,
4,19.200001,2.75,33.599998,3,0.44,0.36,3.13,0.1269,56.1,10.7,0,,
4,19.200001,2.75,33.599998,3,0.7,0.61,3.2,0.2044,57.1,11.7,0,,
