
4, 0.600000, 0.070000, 1.200000, 0.50, 0.92, 0.97, 0.51, 0.0081, 1.00, 1.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.70, 0.79, 0.46, -0.0358, 2.00, 2.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.64, 0.67, 0.42, -0.0838, 3.00, 3.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.38, 0.44, 0.36, -0.1378, 4.00, 4.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.17, 0.19, 0.34, -0.1644, 5.00, 5.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.09, 0.13, 0.34, -0.1562, 6.00, 6.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.17, 0.10, 0.39, -0.1082, 7.00, 7.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.22, 0.17, 0.46, -0.0419, 8.00, 8.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.46, 0.37, 0.55, 0.0468, 9.00, 9.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.69, 0.63, 0.60, 0.0989, 10.00, 10.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.88, 0.83, 0.61, 0.1111, 11.00, 11.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.79, 0.87, 0.56, 0.0642, 12.00, 12.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.57, 0.64, 0.50, -0.0032, 13.00, 13.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.34, 0.41, 0.44, -0.0572, 14.00, 14.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.17, 0.23, 0.42, -0.0838, 15.00, 15.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.13, 0.15, 0.43, -0.0664, 16.00, 16.00, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.17, 0.10, 0.49, -0.0072, 17.05, 17.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.42, 0.32, 0.57, 0.0713, 18.05, 18.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.73, 0.61, 0.63, 0.1315, 19.05, 19.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.85, 0.84, 0.64, 0.1448, 20.05, 20.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.87, 0.88, 0.61, 0.1142, 21.05, 21.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.75, 0.82, 0.54, 0.0356, 22.05, 22.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.45, 0.58, 0.45, -0.0511, 23.05, 23.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.21, 0.32, 0.40, -0.1001, 24.05, 24.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.10, 0.11, 0.39, -0.1103, 25.05, 25.05, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.18, 0.12, 0.42, -0.0838, 26.10, 26.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.41, 0.36, 0.48, -0.0236, 27.10, 27.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.61, 0.53, 0.52, 0.0244, 28.10, 28.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.67, 0.64, 0.55, 0.0509, 29.10, 29.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.70, 0.70, 0.54, 0.0387, 30.10, 30.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.62, 0.67, 0.52, 0.0183, 31.10, 31.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.54, 0.57, 0.47, -0.0307, 32.10, 32.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.35, 0.41, 0.43, -0.0664, 33.10, 33.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.23, 0.26, 0.41, -0.0929, 34.10, 34.10, 0
4, 0.600000, 0.070000, 1.200000, 0.50, 0.15, 0.18, 0.41, -0.0858, 35.10, 35.10, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.20, 0.16, 0.46, -0.5358, 36.10, 0.35, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.03, 0.09, 0.54, -0.4583, 37.10, 1.35, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.08, 0.04, 0.64, -0.3552, 38.10, 2.35, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.06, 0.04, 0.77, -0.2318, 39.10, 3.35, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.11, 0.05, 0.90, -0.1032, 40.10, 4.35, 0
4, 0.600000, 0.070000, 1.200000, 1.00, 0.36, 0.29, 1.03, 0.0253, 41.10, 5.35, 0
